open_time,close_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,price,ticker
1713005100000,1713005999999,67387.99,67478.17,67372.5,67428.25,148.41775,10007367.34755210,10493,67387.99,BTCUSDT
1713006000000,1713006899999,67428.25,67825.91,67425.19,67559.05,410.05925,27729525.28098050,24279,67428.25,BTCUSDT
1713006900000,1713007799999,67559.05,67730.5,67445.98,67445.99,248.35963,16792967.21529540,17539,67559.05,BTCUSDT
1713007800000,1713008699999,67445.98,67580.0,67445.34,67508.89,137.65225,9295027.88328710,10454,67445.98,BTCUSDT
1713008700000,1713009599999,67508.89,67511.36,67302.93,67360.0,177.46527,11956227.26776170,14389,67508.89,BTCUSDT
1713009600000,1713010499999,67360.01,67443.18,67169.97,67227.98,291.09832,19588264.60011940,21149,67360.01,BTCUSDT
1713010500000,1713011399999,67227.98,67328.0,67224.76,67272.01,139.2839,9369943.79436770,13515,67227.98,BTCUSDT
1713011400000,1713012299999,67272.01,67679.99,67272.0,67452.0,288.01757,19438764.27036790,22268,67272.01,BTCUSDT
1713012300000,1713013199999,67452.0,67632.0,67436.01,67514.69,165.42859,11172343.48247510,24992,67452.0,BTCUSDT
1713013200000,1713014099999,67514.7,67754.07,67512.0,67647.99,233.18672,15774697.48903150,16583,67514.7,BTCUSDT
1713014100000,1713014999999,67648.0,67774.2,67582.41,67692.0,236.78985,16028008.17354600,15836,67648.0,BTCUSDT
1713015000000,1713015899999,67692.0,67708.47,67450.54,67512.65,224.30911,15154811.01628110,17390,67692.0,BTCUSDT
1713015900000,1713016799999,67512.65,67607.59,67508.01,67552.03,104.54653,7062894.64514070,9476,67512.65,BTCUSDT
1713016800000,1713017699999,67552.02,67660.0,67493.08,67658.48,144.88155,9794035.61574750,11341,67552.02,BTCUSDT
1713017700000,1713018599999,67658.49,67720.0,67586.0,67692.99,143.01484,9677030.97400730,10348,67658.49,BTCUSDT
1713018600000,1713019499999,67692.99,67706.15,67369.67,67499.99,296.96463,20051302.53797320,19987,67692.99,BTCUSDT
1713019500000,1713020399999,67499.99,67573.73,67390.8,67559.56,163.08705,11006967.57236670,12595,67499.99,BTCUSDT
1713020400000,1713021299999,67559.57,67643.99,67437.8,67466.68,213.27013,14404682.37342510,14000,67559.57,BTCUSDT
1713021300000,1713022199999,67466.67,67926.0,67466.67,67884.0,276.90377,18747679.49801390,18118,67466.67,BTCUSDT
1713022200000,1713023099999,67884.31,67895.91,67733.33,67823.11,332.24414,22529670.30005170,25998,67884.31,BTCUSDT
1713023100000,1713023999999,67823.11,67871.93,67639.72,67676.0,201.13996,13622196.84619150,13012,67823.11,BTCUSDT
1713024000000,1713024899999,67675.99,67752.85,67433.61,67489.01,387.68719,26203113.26098360,22642,67675.99,BTCUSDT
1713024900000,1713025799999,67489.01,67577.53,67224.0,67410.03,422.57579,28480888.50458230,28732,67489.01,BTCUSDT
1713025800000,1713026699999,67410.03,67580.0,67388.0,67540.0,190.33849,12849446.30294600,16039,67410.03,BTCUSDT
1713026700000,1713027599999,67539.99,67540.0,67333.33,67432.37,246.79703,16643203.94587640,19586,67539.99,BTCUSDT
1713027600000,1713028499999,67432.38,67437.56,67020.74,67047.24,624.59544,41973528.08123410,35533,67432.38,BTCUSDT
1713028500000,1713029399999,67047.25,67200.0,66600.0,66788.71,1110.79423,74257841.72996700,63926,67047.25,BTCUSDT
1713029400000,1713030299999,66788.7,67044.0,66500.0,66972.0,829.60585,55402490.77901990,48519,66788.7,BTCUSDT
1713030300000,1713031199999,66971.99,67066.67,66698.0,66730.87,397.17041,26570674.44782050,32995,66971.99,BTCUSDT
1713031200000,1713032099999,66730.86,66800.0,66444.0,66738.38,954.14637,63522095.84056270,46638,66730.86,BTCUSDT
1713032100000,1713032999999,66738.39,66980.0,66738.38,66875.29,449.6642,30068865.82280330,25669,66738.39,BTCUSDT
